freq,purchase,unit,geo\TIME_PERIOD	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 	2024-Q2 
Q,DW_EXST,I10_Q,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96.33 	99.89 	101.64 	102.14 	101.66 	105.33 	107.17 	107.54 	109.34 	109.49 	113.65 	114.17 	113.83 	118.88 	118.83 	117.35 	118.97 	121.96 	122.42 	122.98 	127.58 	128.64 	129.77 	128.52 	132.28 	136.25 	137.86 	138.70 	141.39 	144.66 	146.40 	145.47 	149.28 	153.52 	155.14 	156.35 	157.57 	162.75 	164.81 	166.14 	170.18 	172.92 	179.23 	178.87 	188.14 	196.71 	201.73 	206.42 	216.52 	223.26 	227.52 	217.81 	215.58 	214.13 	212.07 	207.28 	204.23 	209.65 p
Q,DW_EXST,I10_Q,BE	72.31 	74.46 	78.01 	79.97 	81.55 	83.90 	86.99 	87.70 	89.80 	91.91 	94.06 	94.70 	95.55 	96.83 	98.87 	97.69 	96.45 	95.70 	98.48 	97.78 	98.12 	99.01 	101.64 	101.24 	101.90 	102.70 	104.95 	104.47 	105.31 	105.48 	106.91 	106.55 	106.63 	106.75 	108.27 	106.74 	106.43 	106.39 	107.64 	108.03 	106.68 	107.64 	109.87 	109.47 	108.65 	109.63 	112.07 	112.48 	112.83 	113.09 	116.40 	115.51 	116.49 	117.09 	119.05 	119.19 	120.32 	121.26 	124.43 	124.49 	124.38 	126.27 	129.39 	131.28 	132.55 	135.57 	138.80 	139.18 	141.12 	143.09 	146.87 	145.40 	146.72 	146.18 	147.84 	149.38 	149.82 	149.96 p
Q,DW_EXST,I10_Q,BG	72.66 	75.77 	77.96 	79.84 	83.62 	84.99 	88.87 	93.77 	102.51 	108.00 	116.08 	126.25 	134.87 	142.79 	147.14 	141.04 	123.54 	111.53 	105.98 	103.93 	101.54 	100.76 	99.58 	98.13 	95.83 	94.31 	93.51 	92.09 	91.71 	91.86 	91.41 	90.78 	89.92 	89.87 	89.74 	89.68 	89.88 	90.18 	90.12 	90.72 	92.04 b	92.18 	90.95 	94.00 	95.52 	99.08 	99.44 	102.23 	103.88 	108.19 	110.26 	112.45 	113.92 	116.48 	116.66 	118.35 	119.61 	120.87 	123.04 	124.18 	127.10 	125.92 	130.69 	133.16 	137.22 	138.73 	142.24 	146.41 	155.46 b	160.96 	167.01 	169.23 	174.59 	179.37 	182.01 	185.80 	199.15 	205.93 p
Q,DW_EXST,I10_Q,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.21 	97.54 	100.41 	102.85 	99.01 	103.36 	103.26 	100.81 	97.25 	96.47 	96.66 	97.83 	89.95 	92.13 	93.43 	95.70 	93.81 	91.13 	95.80 	92.97 	91.35 b	92.08 	92.70 	91.60 	92.27 	91.19 	91.93 	89.95 	91.95 	93.45 	92.28 	92.92 	93.69 	91.49 	92.99 	93.54 	93.62 	93.91 	94.04 	93.92 	94.58 	94.44 	93.33 	93.59 	92.85 	93.53 	95.31 	96.38 	95.25 	95.95 	96.62 	97.28 	98.06 	98.90 	99.25 	98.51 	100.36 	99.85 
Q,DW_EXST,I10_Q,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	102.80 	107.10 	109.00 	108.10 	105.00 	101.20 	100.20 	99.80 	100.00 	100.00 	99.90 	100.10 	100.40 	100.80 	100.40 	99.50 	99.00 	99.10 	99.00 	98.70 	98.70 	99.10 	99.00 	98.80 	100.00 	101.00 	101.80 	102.60 	103.60 	104.60 	106.00 	107.20 	108.60 	110.80 	113.70 	119.10 	122.40 	125.30 	127.40 	128.80 	131.40 	134.80 	138.00 	140.80 	143.80 	147.30 	150.50 	153.80 	156.30 	158.60 	162.70 	167.20 	177.70 	186.80 	199.00 	210.50 	218.70 	227.40 	230.30 	225.40 	222.20 	220.70 	221.60 	222.40 	225.00 	230.30 
Q,DW_EXST,I10_Q,DE	102.10 	100.40 	102.60 	99.40 	100.90 	101.80 	99.90 	100.70 	97.00 	98.50 	98.20 	98.30 	99.90 	100.10 	98.00 	98.40 	97.90 	99.70 	98.90 	100.40 	99.00 	100.80 	100.50 	99.70 	102.70 	103.70 	102.90 	103.90 	104.70 	106.10 	107.70 	109.20 	108.90 	111.10 	111.00 	111.20 	112.10 	114.30 	114.70 	114.60 	116.60 	119.30 	119.60 	121.20 	123.70 	127.60 	129.90 	131.80 	132.60 	135.30 	137.50 	140.40 	141.40 	144.30 	147.20 	149.50 	149.60 	153.80 	155.90 	159.40 	161.20 	163.90 	169.30 	173.90 	177.20 	184.00 	192.10 	197.20 	198.60 	202.10 	199.90 	188.10 	182.80 	180.40 	177.20 	173.30 	172.30 p	174.90 p
Q,DW_EXST,I10_Q,DK	83.60 	87.95 	94.69 	100.92 	108.12 	114.68 	116.89 	115.69 	116.09 	117.41 	117.48 	115.03 	113.79 	114.59 	111.49 	102.59 	96.01 	97.03 	97.95 	97.59 	98.26 	100.39 	101.22 	100.14 	99.08 	101.27 	97.73 	94.25 	94.23 	95.64 	95.87 	95.36 	96.43 	99.75 	99.90 	98.48 	99.85 	103.67 	103.15 	102.56 	103.31 	109.55 	112.23 	112.41 	108.63 	114.05 	117.82 	117.17 	115.20 	120.14 	122.96 	122.18 	122.27 	126.96 	127.23 	125.68 	125.82 	128.67 	130.09 	128.72 	129.61 	132.40 	135.57 	138.16 	141.63 	149.63 	153.59 	153.85 	155.50 	158.23 	158.66 	154.85 	147.69 	148.27 	150.93 	153.37 	149.54 	154.07 
Q,DW_EXST,I10_Q,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.02 	98.74 	100.12 	100.71 	100.43 	100.87 	101.95 	101.72 	100.89 	100.11 	99.82 	99.63 	99.06 	97.28 	97.80 	97.83 	97.25 	97.06 	98.01 	98.36 	97.69 	97.64 	99.19 	99.96 	100.08 	101.03 	102.76 	104.40 	104.89 	105.67 	107.34 	109.11 	109.88 	110.82 	112.64 	114.41 	115.16 	115.57 	117.71 	119.36 	120.22 	121.65 	123.74 	125.36 	127.04 	129.07 	132.88 	137.31 	139.75 	142.12 	144.94 	146.21 	142.67 	141.20 	141.26 	141.31 	139.76 	139.75 	142.25 
Q,DW_EXST,I10_Q,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.05 	98.73 	100.12 	100.70 	100.44 	100.92 	101.98 	101.76 	100.93 	100.15 	99.87 	99.67 	99.11 	97.36 	97.91 	97.92 	97.38 	97.19 	98.16 	98.52 	97.83 	97.79 	99.34 	100.11 	100.23 	101.18 	102.92 	104.56 	105.05 	105.83 	107.50 	109.27 	110.04 	110.99 	112.81 	114.58 	115.34 	115.74 	117.89 	119.54 	120.40 	121.84 	123.93 	125.55 	127.23 	129.26 	133.08 	137.52 	139.96 	142.33 	145.16 	146.43 	142.88 	141.37 	141.39 	141.44 	139.82 	139.78 	142.25 
Q,DW_EXST,I10_Q,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.07 	98.74 	100.12 	100.70 	100.44 	100.91 	101.97 	101.74 	100.92 	100.14 	99.85 	99.66 	99.08 	97.33 	97.88 	97.89 	97.35 	97.16 	98.13 	98.47 	97.79 	97.75 	99.29 	100.05 	100.18 	101.13 	102.85 	104.49 	104.97 	105.74 	107.43 	109.19 	109.98 	110.93 	112.74 	114.52 	115.28 	115.71 	117.87 	119.50 	120.39 	121.85 	123.94 	125.55 	127.25 	129.26 	133.09 	137.51 	139.95 	142.36 	145.21 	146.51 	143.05 	141.58 	141.64 	141.69 	140.14 	140.12 	142.63 
