freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PTIR_I15,AT	86.02 e	85.83 e	85.08 e	82.51 e	78.99 e	85.87 e	85.37 e	84.89 e	83.25 e	83.19 e	83.76 	87.11 	89.25 	94.21 	96.04 	100.00 	103.89 	106.92 	109.83 	114.07 	121.91 	128.75 	133.76 	122.07 
A,PTIR_I15,BE	71.54 e	71.85 e	75.11 e	78.82 e	83.63 e	91.59 	96.17 	99.29 	98.47 	97.06 	98.45 	99.58 	99.67 	100.27 	98.90 	100.00 	99.89 	100.21 	100.24 	100.39 	103.29 	104.37 	101.83 	97.23 
A,PTIR_I15,BG	: 	146.74 de	124.98 de	128.35 de	172.33 de	206.51 de	212.55 de	232.33 de	241.55 de	180.81 de	153.49 d	134.57 d	123.36 d	110.55 d	105.12 d	100.00 bd	98.10 d	94.90 d	90.22 d	86.86 d	86.29 d	82.89 d	81.75 bd	77.80 d
A,PTIR_I15,CY	: 	: 	113.14 e	104.27 e	104.87 e	102.73 	108.23 	115.30 	110.61 	104.28 	98.29 	96.74 	97.63 	97.29 	102.43 	100.00 b	96.36 	93.87 	90.71 	85.99 	84.27 	75.01 	69.23 	68.50 
A,PTIR_I15,CZ	90.68 e	92.34 e	98.03 e	102.98 e	98.01 e	96.00 e	96.49 e	109.00 e	114.00 	109.18 	104.45 	103.30 	100.66 	100.44 	99.08 	100.00 	103.13 	106.93 	107.94 	110.19 	112.36 	122.58 	131.30 	121.31 
A,PTIR_I15,DE	119.58 e	114.92 e	112.04 e	109.50 e	106.09 e	104.99 	101.94 	97.27 	95.93 	95.92 	94.49 	94.79 	96.11 	97.35 	97.81 	100.00 	104.65 	107.73 	110.86 	113.98 	121.00 	129.56 	126.88 	110.39 
A,PTIR_I15,DK	89.34 e	89.57 e	88.66 e	88.58 e	93.14 e	106.11 	125.99 	127.59 	117.61 	99.63 	98.34 	94.49 	90.71 	93.82 	96.53 	100.00 	101.25 	104.00 	105.74 	106.00 	109.63 	117.84 	116.67 	108.14 
A,PTIR_I15,EA20	: 	: 	: 	: 	: 	107.66 	110.84 	112.00 	110.21 	106.72 	106.50 	106.11 	104.15 	101.57 	100.47 	100.00 	101.73 	103.41 	105.28 	106.66 	111.35 	114.21 	114.96 	106.86 
A,PTIR_I15,EE	: 	: 	: 	: 	: 	121.05 	151.17 	155.78 	121.65 	82.79 	88.18 	88.43 	91.01 	92.02 	100.31 	100.00 	99.95 	98.10 	92.49 	93.04 	96.54 	102.11 	110.44 	110.64 
A,PTIR_I15,EL	104.43 e	112.83 e	118.29 e	113.61 e	108.87 e	117.48 e	122.53 e	121.75 e	115.09 e	109.31 e	113.92 e	119.82 e	119.69 e	114.40 e	104.55 e	100.00 e	98.02 e	95.24 e	97.68 e	97.59 e	105.26 e	102.76 e	107.91 e	113.34 ep
A,PTIR_I15,ES	87.96 e	90.27 e	99.56 e	110.68 e	123.58 e	130.77 e	144.39 	152.76 	144.43 	135.24 	132.94 	122.90 	110.78 	100.90 	100.73 	100.00 	102.06 	105.37 	109.56 	110.60 	114.73 	113.07 	116.48 	111.50 
A,PTIR_I15,EU27_2020	: 	: 	: 	: 	: 	105.06 	110.42 	114.94 	111.91 	108.44 	106.74 	105.28 	102.89 	100.51 	99.85 	100.00 	101.73 	103.33 	105.27 	106.69 	111.25 	114.15 	115.35 	107.85 
A,PTIR_I15,FI	99.02 e	93.65 e	95.11 e	96.54 e	99.41 e	104.55 	107.81 	108.31 	103.20 	102.19 	104.74 	103.89 	103.52 	102.95 	101.86 	100.00 b	100.08 	99.48 	97.18 	94.22 	94.64 	95.51 	92.91 	82.97 
A,PTIR_I15,FR	69.11 	71.44 	74.61 	81.39 	90.60 	101.38 	108.45 	110.60 	108.64 	101.60 	103.88 	108.07 	106.57 	104.95 	102.19 	100.00 	99.73 	100.65 	101.55 	102.25 	106.38 	107.51 	109.34 	102.01 
A,PTIR_I15,HR	114.06 e	108.91 e	106.55 e	104.64 e	108.61 e	114.89 e	129.29 e	133.96 e	130.98 	122.54 	114.73 	113.88 	112.91 	107.95 	105.83 	100.00 	97.94 	97.24 	97.01 	98.87 	102.99 	101.66 	104.14 	102.31 
A,PTIR_I15,HU	: 	: 	: 	: 	: 	: 	: 	131.47 	129.43 	122.70 	116.31 	105.66 	99.54 	93.74 	92.94 	100.00 	107.13 	109.53 	112.70 	119.00 	119.90 	122.74 	126.13 	116.12 p
A,PTIR_I15,IE	123.58 e	125.21 e	122.17 e	131.17 e	137.67 e	140.49 	153.71 	156.79 	140.49 	122.23 	110.60 	92.62 	79.17 	81.23 	93.36 	100.00 	103.65 	109.42 	116.62 	112.77 	108.18 	111.82 	117.54 	111.16 
A,PTIR_I15,IT	90.08 e	90.78 e	97.64 e	100.46 e	103.34 e	107.86 e	110.45 e	112.91 e	114.63 e	116.62 e	118.59 	118.37 	118.95 	111.25 	105.29 	100.00 	98.85 	95.58 	93.43 	92.47 	95.24 	92.48 	90.22 	87.33 
A,PTIR_I15,LT	125.78 e	134.95 e	133.12 e	134.43 e	130.13 e	123.97 e	155.77 	175.35 	155.48 	116.82 	107.31 	107.32 	103.46 	98.52 	101.45 	100.00 	97.10 	102.79 	101.48 	98.28 	96.09 	100.46 	105.98 	105.91 
A,PTIR_I15,LU	56.80 e	61.32 e	61.92 e	67.24 e	74.67 e	89.80 e	91.67 e	90.24 	89.74 	86.64 	89.15 	89.91 	90.88 	91.85 	94.83 	100.00 	106.13 	107.23 	111.39 	117.99 	127.30 	142.94 	148.65 	127.91 
A,PTIR_I15,LV	117.20 e	108.59 e	140.18 e	150.72 e	129.46 e	176.92 e	162.85 	179.92 	151.36 	111.94 	104.15 	112.31 	107.41 	109.74 	110.19 	100.00 	102.18 	103.23 	104.22 	106.40 	107.32 	108.09 	112.73 	106.51 
A,PTIR_I15,MT	58.31 e	63.12 e	68.75 e	76.59 e	87.60 e	90.90 	102.57 	116.08 	126.25 	118.95 	114.16 	107.39 	106.78 	101.05 	100.84 	100.00 	100.21 	99.64 	99.29 	99.49 	100.88 	97.60 	100.70 	97.37 p
A,PTIR_I15,NL	121.04 e	121.92 e	124.35 e	125.13 e	128.07 e	132.28 	129.30 	129.94 	128.53 	120.92 	116.98 	113.18 	105.40 	99.19 	97.91 	100.00 	102.70 	108.55 	113.21 	115.78 	121.35 	130.68 	138.67 	126.94 
A,PTIR_I15,PL	: 	: 	: 	: 	: 	96.19 e	123.76 e	171.83 e	157.23 e	142.84 e	127.80 	121.99 	112.85 	106.21 	101.55 	100.00 	97.44 	96.18 	96.66 	97.93 	98.34 	102.25 	101.96 	99.56 
A,PTIR_I15,PT	121.00 e	121.59 e	117.07 e	115.41 e	112.21 e	113.92 e	113.25 e	110.17 e	107.06 	104.90 	104.73 	102.68 	98.72 	96.93 	100.84 	100.00 	103.51 	109.86 	115.67 	121.65 	133.01 	137.28 	143.19 	146.51 
A,PTIR_I15,RO	: 	: 	: 	: 	: 	: 	: 	: 	223.04 e	172.13 	147.73 	123.05 	111.13 	110.14 	104.65 	100.00 	95.82 	88.02 	85.26 	72.87 	74.58 	71.56 	67.06 	62.68 
