;;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;
;;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, 2015 = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, предходното тримесечие = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;ИЦЖ по статистически райони, съответното тримесечие на предходната година = 100;
;;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024;
;;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;
Нови жилища;Общо за страната;97.48;99.45;100.24;102.83;103.12;104.28;108.21;110.04;112.83;111.91;114.17;115.24;115.46;120.00;122.41;122.30;129.23;129.02;129.50;133.00;131.83;130.06;134.07;136.04;140.67;139.43;145.44;147.52;152.88;156.55;163.82;161.98;160.41;171.35;179.31;179.02;191.35;198.08;;;-0.9;2.0;0.8;2.6;0.3;1.1;3.8;1.7;2.5;-0.8;2.0;0.9;0.2;3.9;2.0;-0.1;5.7;-0.2;0.4;2.7;-0.9;-1.3;3.1;1.5;3.4;-0.9;4.3;1.4;3.6;2.4;4.6;-1.1;-1.0;6.8;4.6;-0.2;6.9;3.5;;;1.9;3.7;3.8;4.6;5.8;4.9;8.0;7.0;9.4;7.3;5.5;4.7;2.3;7.2;7.2;6.1;11.9;7.5;5.8;8.7;2.0;0.8;3.5;2.3;6.7;7.2;8.5;8.4;8.7;12.3;12.6;9.8;4.9;9.5;9.5;10.5;19.3;15.6;;;
Нови жилища;Северна и Югоизточна България;99.26;100.06;99.87;100.81;101.31;103.43;107.64;110.91;110.24;108.28;111.91;115.10;115.31;115.87;116.62;118.33;119.91;116.96;115.89;116.31;115.33;115.73;116.60;115.84;116.67;118.38;122.58;125.82;125.44;130.67;134.64;140.64;138.00;148.44;152.37;152.32;160.32;162.85;;;-1.5;0.8;-0.2;0.9;0.5;2.1;4.1;3.0;-0.6;-1.8;3.4;2.9;0.2;0.5;0.6;1.5;1.3;-2.5;-0.9;0.4;-0.8;0.3;0.8;-0.7;0.7;1.5;3.5;2.6;-0.3;4.2;3.0;4.5;-1.9;7.6;2.6;0.0;5.3;1.6;;;-3.1;-1.1;0.4;0.0;2.1;3.4;7.8;10.0;8.8;4.7;4.0;3.8;4.6;7.0;4.2;2.8;4.0;0.9;-0.6;-1.7;-3.8;-1.1;0.6;-0.4;1.2;2.3;5.1;8.6;7.5;10.4;9.8;11.8;10.0;13.6;13.2;8.3;16.2;9.7;;;
Нови жилища;Северозападен;98.55;99.04;101.34;101.06;102.31;102.94;102.28;101.94;102.58;104.13;103.28;106.76;106.93;106.62;106.88;107.86;108.89;110.11;110.34;113.05;113.81;112.76;111.46;113.32;111.71;113.42;114.16;115.37;121.57;123.53;127.97;128.07;131.70;122.80;126.93;112.11;120.63;127.50;;;-0.5;0.5;2.3;-0.3;1.2;0.6;-0.6;-0.3;0.6;1.5;-0.8;3.4;0.2;-0.3;0.2;0.9;1.0;1.1;0.2;2.5;0.7;-0.9;-1.2;1.7;-1.4;1.5;0.7;1.1;5.4;1.6;3.6;0.1;2.8;-6.8;3.4;-11.7;7.6;5.7;;;0.5;3.4;3.7;2.0;3.8;3.9;0.9;0.9;0.3;1.2;1.0;4.7;4.2;2.4;3.5;1.0;1.8;3.3;3.2;4.8;4.5;2.4;1.0;0.2;-1.8;0.6;2.4;1.8;8.8;8.9;12.1;11.0;8.3;-0.6;-0.8;-12.5;-8.4;3.8;;;
Нови жилища;Северен централен;97.03;101.74;100.28;100.95;100.13;101.07;99.48;99.30;101.46;102.72;106.77;109.47;111.16;114.24;113.72;114.25;114.66;116.49;116.25;118.59;118.26;118.33;119.25;120.47;119.37;121.35;122.37;125.74;131.82;134.00;137.67;148.55;136.45;133.03;139.48;134.55;139.94;147.04;;;0.4;4.9;-1.4;0.7;-0.8;0.9;-1.6;-0.2;2.2;1.2;3.9;2.5;1.5;2.8;-0.5;0.5;0.4;1.6;-0.2;2.0;-0.3;0.1;0.8;1.0;-0.9;1.7;0.8;2.8;4.8;1.7;2.7;7.9;-8.1;-2.5;4.8;-3.5;4.0;5.1;;;1.0;10.1;6.0;4.4;3.2;-0.7;-0.8;-1.6;1.3;1.6;7.3;10.2;9.6;11.2;6.5;4.4;3.1;2.0;2.2;3.8;3.1;1.6;2.6;1.6;0.9;2.6;2.6;4.4;10.4;10.4;12.5;18.1;3.5;-0.7;1.3;-9.4;2.6;10.5;;;
Нови жилища;Североизточен;98.85;100.80;99.96;100.40;104.31;104.21;105.55;115.79;112.23;113.90;113.88;121.22;121.18;121.37;124.93;129.03;129.18;129.21;128.42;131.89;130.68;127.60;129.00;128.46;129.02;134.93;139.46;141.13;138.40;142.85;148.74;157.33;147.35;174.49;177.16;176.82;190.44;185.77;;;-0.7;2.0;-0.8;0.4;3.9;-0.1;1.3;9.7;-3.1;1.5;0.0;6.4;0.0;0.2;2.9;3.3;0.1;0.0;-0.6;2.7;-0.9;-2.4;1.1;-0.4;0.4;4.6;3.4;1.2;-1.9;3.2;4.1;5.8;-6.3;18.4;1.5;-0.2;7.7;-2.5;;;2.2;1.6;0.2;0.9;5.5;3.4;5.6;15.3;7.6;9.3;7.9;4.7;8.0;6.6;9.7;6.4;6.6;6.5;2.8;2.2;1.2;-1.2;0.5;-2.6;-1.3;5.7;8.1;9.9;7.3;5.9;6.7;11.5;6.5;22.1;19.1;12.4;29.2;6.5;;;
Нови жилища;Югоизточен;99.65;99.65;99.74;100.96;100.21;103.36;109.37;110.38;110.70;106.58;112.07;113.38;113.56;114.09;113.38;113.87;116.61;110.81;109.35;107.37;106.34;109.35;109.95;108.60;110.14;108.59;113.41;118.07;117.74;124.48;127.13;130.79;134.01;137.21;141.57;143.44;148.13;154.43;;;-2.1;0.0;0.1;1.2;-0.7;3.1;5.8;0.9;0.3;-3.7;5.2;1.2;0.2;0.5;-0.6;0.4;2.4;-5.0;-1.3;-1.8;-1.0;2.8;0.5;-1.2;1.4;-1.4;4.4;4.1;-0.3;5.7;2.1;2.9;2.5;2.4;3.2;1.3;3.3;4.3;;;-5.5;-3.3;-0.2;-0.8;0.6;3.7;9.7;9.3;10.5;3.1;2.5;2.7;2.6;7.0;1.2;0.4;2.7;-2.9;-3.6;-5.7;-8.8;-1.3;0.5;1.1;3.6;-0.7;3.1;8.7;6.9;14.6;12.1;10.8;13.8;10.2;11.4;9.7;10.5;12.6;;;
Нови жилища;Югозападна и Южна централна България;95.73;98.84;100.61;104.83;104.88;104.99;108.60;108.81;114.78;114.81;115.81;114.93;115.16;122.25;125.73;124.45;134.62;136.06;137.49;142.85;141.57;138.63;144.35;147.79;154.40;151.65;158.65;160.16;168.44;171.38;180.38;174.62;173.59;184.89;195.00;194.57;209.25;218.19;;;-0.2;3.2;1.8;4.2;0.0;0.1;3.4;0.2;5.5;0.0;0.9;-0.8;0.2;6.2;2.8;-1.0;8.2;1.1;1.1;3.9;-0.9;-2.1;4.1;2.4;4.5;-1.8;4.6;1.0;5.2;1.7;5.3;-3.2;-0.6;6.5;5.5;-0.2;7.5;4.3;;;7.1;8.5;7.3;9.3;9.6;6.2;7.9;3.8;9.4;9.4;6.6;5.6;0.3;6.5;8.6;8.3;16.9;11.3;9.4;14.8;5.2;1.9;5.0;3.5;9.1;9.4;9.9;8.4;9.1;13.0;13.7;9.0;3.1;7.9;8.1;11.4;20.5;18.0;;;
