;;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;
;;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;ИЦЖ за шестте града в България с население над 120 000 жители, 2015 = 100;
;;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024;
;;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;
София;Общ ИЦЖ;98.25;99.55;98.27;103.94;104.65;110.78;112.37;116.03;117.88;122.53;125.05;126.73;127.63;132.75;133.85;135.15;139.89;140.62;142.93;146.01;148.50;145.96;155.24;158.54;165.79;163.32;170.56;172.91;185.52;191.60;202.30;197.20;198.83;208.52;216.53;216.29;234.97;241.87;;;
София;Нови жилища;95.69;98.81;99.84;105.66;104.24;104.23;110.35;110.53;118.06;118.25;117.88;115.67;115.09;123.49;127.37;124.34;136.46;137.29;137.43;144.91;143.37;140.59;148.22;151.44;160.45;156.72;165.05;166.52;174.61;179.27;188.82;178.83;176.84;188.89;200.78;200.73;221.57;226.95;;;
София;Съществуващи жилища;99.40;99.88;97.57;103.16;104.87;113.92;113.35;118.67;117.77;124.58;128.48;132.04;133.71;137.13;136.79;140.32;140.76;141.44;144.99;145.50;150.63;148.28;158.57;161.90;167.76;166.26;172.61;175.57;191.47;198.55;209.99;208.68;213.30;220.83;225.44;225.04;241.67;249.68;;;
Пловдив;Общ ИЦЖ;98.66;100.45;98.43;102.45;106.98;109.34;106.41;109.31;114.07;116.64;120.27;123.09;127.99;131.67;131.85;134.92;137.07;143.54;148.08;147.82;148.47;146.38;148.26;152.58;154.85;158.27;161.90;167.03;172.62;171.83;181.55;182.00;189.13;202.05;196.25;195.31;203.76;214.63;;;
Пловдив;Нови жилища;91.80;97.96;105.55;104.68;108.43;112.55;107.30;111.08;117.41;117.16;123.56;122.38;126.75;128.98;131.17;137.39;142.71;152.32;159.15;155.52;153.11;149.69;149.53;154.60;154.36;153.55;158.07;162.11;169.35;159.12;176.23;181.60;179.79;196.27;199.86;190.02;187.40;198.92;;;
Пловдив;Съществуващи жилища;102.25;101.74;94.72;101.29;105.80;107.28;105.52;107.97;111.91;115.92;118.11;122.98;128.15;132.60;131.69;133.07;133.16;137.58;140.64;142.56;145.46;144.35;147.74;151.52;155.80;162.59;165.53;171.54;175.59;183.63;186.43;182.29;198.26;207.65;192.54;200.42;219.41;229.67;;;
Варна;Общ ИЦЖ;97.81;99.75;101.51;100.93;101.87;102.65;107.32;110.37;111.81;116.86;117.25;120.78;123.64;123.40;125.02;125.97;128.67;130.76;133.13;135.09;134.46;130.12;131.52;132.04;133.87;139.93;143.17;146.31;151.53;150.94;161.51;164.98;168.41;181.64;187.68;190.86;208.06;210.50;;;
Варна;Нови жилища;96.63;102.22;100.52;100.62;94.41;98.77;105.01;111.78;108.20;113.49;114.77;120.27;122.01;119.26;123.17;123.27;123.89;122.27;125.19;126.61;124.15;119.24;124.59;122.63;124.67;133.57;136.28;136.45;134.66;133.83;140.26;145.14;138.35;167.61;173.11;172.95;187.24;183.41;;;
Варна;Съществуващи жилища;98.40;98.50;102.01;101.09;105.96;104.84;108.68;109.77;114.08;119.00;118.88;121.29;124.82;126.05;126.32;127.77;131.71;136.00;138.04;140.32;140.83;136.85;135.79;137.85;139.54;143.71;147.29;152.38;161.93;161.49;174.63;177.23;186.77;190.46;196.83;202.02;220.99;227.14;;;
Бургас;Общ ИЦЖ;97.70;99.36;100.68;102.26;103.83;104.71;105.23;105.02;111.35;108.88;109.61;111.17;108.32;115.80;117.71;118.18;117.03;116.70;115.82;118.67;120.81;123.27;124.39;125.67;126.78;128.58;133.42;137.02;140.82;147.74;149.79;156.85;168.30;166.53;173.14;184.01;188.96;194.37;;;
Бургас;Нови жилища;96.85;97.61;102.62;102.93;107.74;108.47;109.43;107.31;113.10;106.61;107.32;108.41;103.92;114.21;115.44;115.23;113.94;110.52;110.18;112.23;112.00;114.38;116.35;116.06;118.11;115.51;118.78;120.09;118.17;134.48;122.75;125.71;133.58;131.30;148.64;143.59;148.42;152.99;;;
Бургас;Съществуващи жилища;99.33;102.72;96.97;100.98;96.91;98.07;97.83;100.92;107.95;111.17;111.94;114.16;113.91;116.87;119.84;121.36;120.34;122.91;121.52;125.12;129.38;131.93;132.30;134.98;135.32;140.76;146.95;152.48;159.47;161.78;171.17;180.74;194.67;193.14;193.77;214.28;219.35;225.43;;;
Русе;Общ ИЦЖ;100.39;101.60;98.54;99.47;99.45;101.94;103.66;105.18;110.65;115.00;117.65;121.96;125.32;127.10;125.47;126.95;129.48;133.01;131.54;133.10;135.05;134.42;138.56;139.64;142.22;145.75;147.10;151.97;164.19;179.77;166.10;169.02;181.12;183.49;199.25;199.56;197.77;223.95;;;
Русе;Нови жилища;95.94;101.59;99.43;103.03;103.64;107.65;104.95;105.38;107.93;107.28;109.30;112.50;113.99;116.94;116.42;118.11;119.22;121.32;120.33;120.55;121.20;119.94;121.42;123.61;120.15;121.86;125.71;130.04;148.03;156.72;149.36;140.37;/;/;/;/;/;/;;;
