;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;лв./м2;
;1995;1995;1995;1995;1996;1996;1996;1996;1997;1997;1997;1997;1998;1998;1998;1998;1999;1999;1999;1999;2000;2000;2000;2000;2001;2001;2001;2001;2002;2002;2002;2002;2003;2003;2003;2003;2004;2004;2004;2004;2005;2005;2005;2005;2006;2006;2006;2006;2007;2007;2007;2007;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012;2012;2012;2012;2013;2013;2013;2013;2014;2014;2014;2014;
;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;I;II;III;IV;
Общо;13.9;14.2;15.6;16.3;17.7;24.8;36.9;81.2;273.5;261.6;284.0;303.1;312.0;330.2;316.1;318.9;321.1;328.4;316.7;321.5;318.8;319.7;323.4;316.2;322.8;318.0;323.0;318.3;319.7;324.3;329.9;331.9;336.2;350.7;376.2;402.0;452.2;506.9;568.7;633.1;700.5;730.5;751.5;769.7;806.1;819.3;856.7;904.0;988.2;1041.1;1118.8;1216.9;1299.9;1376.3;1418.2;1359.4;1190.7;1075.0;1021.5;1001.7;978.7;971.2;959.8;945.8;923.7;909.0;901.3;887.6;883.8;885.3;881.2;875.1;866.8;866.3;865.0;864.5;866.4;869.3;868.8;874.5;
Благоевград;13.5;14.8;16.4;16.4;17.4;20.9;34.6;76.6;192.2;298.3;217.8;251.8;272.8;290.2;319.7;326.7;251.3;265.1;275.9;253.3;279.8;281.5;289.5;270.2;305.8;275.7;277.5;297.5;291.0;280.0;280.2;287.5;298.3;321.2;296.3;329.3;362.3;443.7;556.0;612.2;765.2;799.2;735.2;731.2;766.8;750.7;844.0;830.0;964.3;971.5;1084.8;1134.0;1295.2;1303.0;1235.7;1194.5;949.0;940.7;876.2;897.0;854.0;851.2;859.6;832.4;781.2;791.5;784.0;763.9;785.3;796.7;793.3;775.0;770.5;774.1;763.1;749.0;755.7;749.8;742.1;740.9;
Бургас;16.7;17.3;17.5;17.6;18.8;27.0;42.9;76.6;332.6;336.9;389.4;359.7;345.8;481.8;421.5;465.7;448.2;447.5;445.7;439.7;390.0;422.0;408.5;386.0;378.8;374.3;377.5;390.3;394.8;402.2;401.5;401.2;404.2;436.8;442.8;487.8;569.7;708.8;842.0;962.0;1069.5;1113.0;1142.2;1181.5;1198.3;1180.5;1232.2;1297.2;1312.3;1366.7;1483.0;1606.3;1647.0;1698.0;1755.0;1791.5;1678.7;1471.7;1379.8;1360.3;1246.6;1231.3;1164.9;1142.5;1166.0;1163.0;1184.4;1166.3;1158.8;1151.2;1135.8;1140.4;1129.7;1118.3;1113.3;1112.2;1110.3;1130.7;1145.3;1162.8;
Варна;18.4;19.2;20.7;21.2;24.6;42.6;48.5;157.0;414.7;430.0;442.9;462.9;498.1;469.8;441.2;449.6;468.8;472.1;449.2;479.9;480.5;461.3;460.5;469.0;509.0;477.7;470.3;482.0;499.5;487.5;480.5;483.7;485.5;540.3;606.2;689.8;853.2;889.0;991.2;1083.5;1200.5;1198.0;1192.0;1201.8;1237.8;1263.8;1343.7;1418.7;1646.0;1710.3;1753.3;1940.8;2099.3;2137.3;2129.7;2101.2;1982.2;1827.0;1770.0;1686.2;1633.8;1594.0;1557.2;1531.2;1494.5;1508.7;1493.3;1454.7;1439.0;1429.0;1425.8;1424.9;1409.7;1395.8;1381.3;1374.5;1370.0;1366.5;1378.3;1393.2;
Велико Търново;12.2;15.6;13.0;14.8;17.9;21.8;26.1;47.7;274.5;204.9;256.7;234.5;248.4;352.5;245.4;292.9;310.3;313.4;243.4;330.0;345.0;385.7;359.8;360.7;363.0;372.0;356.3;343.0;373.2;350.0;326.7;322.0;350.2;331.9;350.7;374.7;432.2;475.2;489.8;628.5;669.2;709.2;702.2;725.7;768.5;793.3;809.0;873.5;890.2;940.8;993.0;1051.7;1146.7;1289.1;1330.7;1175.0;880.6;795.0;794.2;853.4;857.0;809.4;803.8;801.0;770.5;728.0;706.6;713.3;691.1;712.6;731.1;719.0;715.1;713.9;714.7;710.9;719.8;727.6;729.9;736.5;
Видин;9.8;12.5;12.1;13.1;15.2;18.0;27.7;27.9;74.7;99.6;121.5;219.2;211.8;196.9;185.3;181.6;179.4;172.2;181.4;181.3;183.5;193.3;192.3;220.7;189.3;193.3;200.5;190.5;194.0;197.3;196.7;194.7;194.7;196.7;201.3;210.7;225.2;231.8;276.3;297.3;336.7;366.0;361.2;363.2;550.3;589.3;624.2;586.5;600.7;739.0;886.8;982.6;905.6;933.7;916.1;832.9;684.6;677.3;608.8;669.2;695.6;680.6;643.8;608.3;599.8;571.6;576.6;570.2;551.8;542.7;559.4;560.3;559.4;560.4;539.4;521.2;509.6;514.4;512.1;514.0;
Враца;11.3;11.0;12.5;10.3;10.1;18.1;28.6;62.5;242.9;240.1;255.2;261.2;258.1;255.0;261.9;270.0;259.8;249.6;241.7;221.5;219.7;223.5;215.2;208.5;191.3;190.5;195.0;188.5;189.0;202.3;206.8;202.7;198.0;180.2;186.7;193.8;224.7;241.3;255.2;277.7;362.3;451.5;485.5;559.7;588.3;613.2;646.3;703.5;758.2;821.7;856.2;864.5;950.7;988.5;1041.0;1074.0;966.8;828.3;753.0;749.7;693.8;646.0;661.3;666.2;633.2;630.9;618.5;630.0;602.2;585.2;573.2;569.3;560.0;551.8;531.5;527.5;532.8;518.2;508.7;506.4;
Габрово;9.3;7.8;13.0;13.8;14.3;16.8;23.8;31.0;243.5;221.3;210.7;261.1;246.9;254.8;248.2;248.7;273.7;273.5;281.2;279.1;281.7;285.0;318.3;296.8;280.7;295.5;291.0;292.5;300.0;267.8;256.7;247.8;236.8;241.3;257.0;265.0;283.3;301.5;345.5;458.5;452.3;447.7;511.2;531.7;550.0;633.8;638.8;660.8;702.7;758.2;774.3;852.5;863.5;886.5;861.7;841.2;803.7;755.2;747.1;766.7;725.7;665.5;608.0;575.6;555.5;525.8;524.2;524.7;526.4;531.7;538.6;536.7;538.1;533.4;531.9;526.0;522.4;517.8;508.8;510.0;
